device,filedate,filetimeutc,intersectid,key,laneid,localtimems,minendtime,movementphase,signalgroupid,uuid
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NTMwNTF9,1,59953051,23600,1,3,2ea97af035d85a6bdb09f680440fd275
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NTM1NTF9,1,59953551,23600,1,3,9a0b27abfe12a4c93e8a74093dee49a8
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NTQwNTF9,1,59954051,23600,1,3,f2abe13fd58016dbb0b4bd33139ecef4
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NTQ1NTF9,1,59954551,23600,1,3,5d454a21b493289aad56eb1b6db0e486
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NTUwNTF9,1,59955051,0,0,3,e6d88cf3d9ad0472ab51b7d18da6c409
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzA2NTJ9,3,59970652,24334,3,1,f69b62f3c22146dd69a591b444ae6546
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzExNTN9,3,59971153,24334,3,1,f7be2b35925c091e8a27190f32e523ef
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzE2NTN9,3,59971653,24334,3,1,39e4842deca0535922624e8941cffa00
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzIxNTN9,3,59972153,24334,3,1,195530019cf748baaf53620b32327f4a
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzI2NTN9,3,59972653,24334,3,1,685eebde2720fbc0425be3a207e22a3f
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzMxNTN9,3,59973153,24334,3,1,e751a552256884f049989b60ea57ed18
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzM2NTN9,4,59973653,24334,3,1,782076291618d52ba304688ec0c8df8a
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzQxNTN9,4,59974153,24334,3,1,a948e7378f28e15fda87af9e60aa4532
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzQ2NTN9,4,59974653,24334,3,1,2f217c1f4df2d23e0d18e8d6a6700747
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzUxNTN9,4,59975153,24334,3,1,c4c8baffc0338494b22fd9bda20336f1
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzU2NTN9,4,59975653,24334,3,1,bf6acd1d72a60c82b7923f9650b2daf5
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzYxNTN9,4,59976153,24334,3,1,163327b8628c341f7a07a6f8a9efa0e4
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzY2NTN9,4,59976653,24334,3,1,6ff4c81b56e3119496218c21c88fd9fd
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzcxNTN9,4,59977153,24334,3,1,5e784d4af612e73d787c3589f5231f90
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5Nzc2NTN9,4,59977653,24334,3,1,d2bb43f7a78c3b5f4cadbc34248302d6
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzgxNTN9,4,59978153,24334,3,1,2fb0ee93757b63584205bb1ea234163d
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5Nzg2NTN9,4,59978653,24334,3,1,f8341fdf7d6725c9dfb90c28604299ef
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NzkxNTN9,4,59979153,24334,3,1,66f096d5a90181fdfb0dd1e96f79e4c1
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5Nzk2NTN9,4,59979653,24334,3,1,e460fcf24c52f1382c069805471eb2bb
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODAxNTN9,4,59980153,24334,3,1,2bf7d73cfc099a1ec9a71705d5cb3a53
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODA2NTN9,4,59980653,25053,3,1,a4d95a2eda7d433033b5e8b90a2ec78c
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODExNTN9,4,59981153,25049,3,1,31d9fb700ab9d3b140bcc7e1b9265633
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODE2NTN9,4,59981653,25043,3,1,662ce54f310878e6ccce9d7c6a8eb959
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODIxNTR9,4,59982154,25040,3,1,5d3e176fbddc7adbea7f0e607bc7a4a9
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODI2NTR9,4,59982654,25033,3,1,a4b1f1ad86b45d18f9b34bc64f60b18c
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODMxNTV9,4,59983155,25029,3,1,15261fd1c82f325ee4644130b93872ea
