configsversionstring,configversion,deltamediaversionstring,device,endlatitude,endlocaltime,endlongitude,endodometer,filedate,filetimeutc,firmwareversionstring,fullmediaversionstring,key,numbsmtx,numcanoutages,numgnssoutages,numinforms,numintersectionencounters,numnormalbsmrx,numshadowbsmrx,numspatrx,numwarnings,pluginsversionstring,startlatitude,startlocaltime,startlongitude,startodometer,storageused,swversionmaj,swversionmin,totalstorageondevice,utctime,uuid
,0,,100085,40.13839427618528,7319378,-83.14443094041765,23379933,20200602,13215,,,eyJkZXZpY2UiOjEwMDA4NSwidXRjdGltZSI6MTU5MTA2MTUzNTk4Nn0=,18868,5,0,0,1,0,0,1711,0,,40.28534362130999,5696124,-83.52708535437266,-1000,,2,3,,1591061535986,e98b456f745a3590481189ebdb87292f
,0,,103940,40.2670561913018,6545904,-83.37793816186696,-1000,20200602,14552,,,eyJkZXZpY2UiOjEwMzk0MCwidXRjdGltZSI6MTU5MTA2MjM1MjQ5N30=,1731,4,0,0,0,0,0,0,0,,200.0,6352497,200.0,-1000,,2,3,,1591062352497,57294558963ff34f1620fb58db393726
,0,,102645,40.295093585193456,39031467,-83.50664427421407,12617964,20200602,102302,,,eyJkZXZpY2UiOjEwMjY0NSwidXRjdGltZSI6MTU5MTA5MzM4Mjc4Nn0=,19016,5,0,0,1,0,0,5962,0,,40.09830058767462,37643047,-83.15871774115293,-1000,,2,3,,1591093382786,076f88db1e80b91fa4ce1b17c5d8b4ca
,0,,102816,40.262871926076464,39407934,-83.37419582817049,31304909,20200602,104228,,,eyJkZXZpY2UiOjEwMjgxNiwidXRjdGltZSI6MTU5MTA5NDU0ODkwMn0=,9631,5,0,0,4,0,0,7867,0,,40.31433306441618,38633766,-83.47025615192871,-1000,,2,3,,1591094548902,0e976c53378b98423741918463a9d7fc
,0,,100618,40.09900051005658,39225926,-83.11910353846696,-1000,20200602,104926,,,eyJkZXZpY2UiOjEwMDYxOCwidXRjdGltZSI6MTU5MTA5NDk2NjgzMH0=,1470,27,0,0,-1,0,0,3182,0,,40.102468372220876,39027209,-83.11010072509285,-1000,,2,4,,1591094966830,4e1abc554f85553cb3de3656074ce293
,0,,101910,40.303423896884574,42675878,-83.51193314048561,-1000,20200602,105019,,,eyJkZXZpY2UiOjEwMTkxMCwidXRjdGltZSI6MTU5MTA5NTAxOTk0NX0=,39020,21,0,1,0,0,0,4979,0,,40.0515706809209,39257148,-83.15928427321177,-1000,,2,2,,1591095019945,e9015cd1629bd99c299e9f9fefe3851a
,0,,101084,40.303459526619314,41912168,-83.51191396777462,21385939,20200602,105732,,,eyJkZXZpY2UiOjEwMTA4NCwidXRjdGltZSI6MTU5MTA5NTQ1MjE4NH0=,25506,-101,0,0,0,48,0,3421,0,,40.07560675080163,39672254,-83.13054091688163,-1000,,2,3,,1591095452184,36d0c3d21f86ea45aeed036d2a688581
,0,,102434,40.29513334040044,42241807,-83.50668119743177,9347973,20200602,110031,,,eyJkZXZpY2UiOjEwMjQzNCwidXRjdGltZSI6MTU5MTA5NTYzMTY5M30=,28988,3,1,0,1,5126,0,3012,0,,40.05059468848398,40078805,-83.02013790821805,-1000,,2,3,,1591095631693,7c8cf98699acdf9e8c1f50492966cdea
,0,,100614,40.29507617657797,42413570,-83.50664650946281,-1000,20200602,110235,,,eyJkZXZpY2UiOjEwMDYxNCwidXRjdGltZSI6MTU5MTA5NTc1NTI3OX0=,0,-103,0,0,0,0,0,0,0,,40.06076414262651,40001238,-83.16056373754483,-1000,,2,2,,1591095755279,9bc4906f369445ae69736f988e1e752a
,0,,100618,40.295159954904165,42244429,-83.5067000009153,60827827,20200602,110238,,,eyJkZXZpY2UiOjEwMDYxOCwidXRjdGltZSI6MTU5MTA5NTc1ODk3N30=,28658,3,0,13,-1,5584,0,5814,0,,40.0990073433899,39759573,-83.11913920513487,-1000,,2,4,,1591095758977,b951457826ee5474d674304d62496d41
,0,,101032,40.295131604664164,42448149,-83.50668447656739,-1000,20200602,110908,,,eyJkZXZpY2UiOjEwMTAzMiwidXRjdGltZSI6MTU5MTA5NjE0ODQwOX0=,24937,27,0,0,0,1,0,3138,0,,39.97158565209515,40310049,-83.01764360417114,-1000,,2,3,,1591096148409,f75ba8f2750dc2232ed2a6d9ae155729
,0,,102394,40.301972914087735,44038731,-83.51251293091237,14368959,20200602,112905,,,eyJkZXZpY2UiOjEwMjM5NCwidXRjdGltZSI6MTU5MTA5NzM0NTcyOX0=,26363,5,0,0,1,487,0,2573,0,,40.15647834717631,41434384,-83.03909338422794,-1000,,2,3,,1591097345729,2afc896e5241cd4d2adecec01d971941
,0,,103940,40.30348380249229,42374108,-83.51189186081204,-1000,20200602,113003,,,eyJkZXZpY2UiOjEwMzk0MCwidXRjdGltZSI6MTU5MTA5NzQwMzI5Mn0=,11631,7,0,0,1,540,0,3777,0,,40.26870651369158,41422123,-83.3783422236607,-1000,,2,3,,1591097403292,be0a0189365891751c4a9ef35273e801
,0,,102629,40.303476309450936,44571939,-83.51400191544667,166950530,20200602,113758,,,eyJkZXZpY2UiOjEwMjYyOSwidXRjdGltZSI6MTU5MTA5Nzg3ODIzMn0=,28403,13,0,0,0,490,0,2092,0,,40.13352862823252,42028895,-83.179652667551,-1000,,2,2,,1591097878232,c312abc53dacdaa2b215a009c66ccb29
,0,,101084,40.30347103527062,42365415,-83.52711477249802,21385939,20200602,114515,,,eyJkZXZpY2UiOjEwMTA4NCwidXRjdGltZSI6MTU5MTA5ODMxNTIxMH0=,419,5,0,0,0,0,0,0,0,,40.30454747802403,42315210,-83.53024286423346,-1000,,2,3,,1591098315210,66a8b2f775404290b3f20229d3c6c946
